BMI_714_Variable_Name,Variable_Name,Variable_Description,Data_File_Name,Data_File_Description,Component
P_BIOPRO_LBXSLDSI,LBXSLDSI,Lactate Dehydrogenase (LDH) (IU/L),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBXSOSSI,LBXSOSSI,Osmolality (mmol/Kg),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBXSPH,LBXSPH,Phosphorus (mg/dL),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBDSPHSI,LBDSPHSI,Phosphorus (mmol/L),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBXSKSI,LBXSKSI,Potassium (mmol/L),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBXSNASI,LBXSNASI,Sodium (mmol/L),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBXSTB,LBXSTB,Total Bilirubin (mg/dL),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBDSTBSI,LBDSTBSI,Total Bilirubin (umol/L),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBDSTBLC,LBDSTBLC,Total Bilirubin Comment Code,P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBXSCA,LBXSCA,Total Calcium (mg/dL),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBDSCASI,LBDSCASI,Total Calcium (mmol/L),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBXSCH,LBXSCH,"Total Cholesterol, refrigerated serum (mg/dL)",P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBDSCHSI,LBDSCHSI,"Total Cholesterol, refrigerated serum (mmol/L)",P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBXSTP,LBXSTP,Total Protein (g/dL),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBDSTPSI,LBDSTPSI,Total Protein (g/L),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBXSTR,LBXSTR,"Triglycerides, refrigerated serum (mg/dL)",P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBDSTRSI,LBDSTRSI,"Triglycerides, refrigerated serum (mmol/L)",P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBXSUA,LBXSUA,Uric acid (mg/dL),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_BIOPRO_LBDSUASI,LBDSUASI,Uric acid (umol/L),P_BIOPRO,Standard Biochemistry Profile,Laboratory
P_CBC_LBXWBCSI,LBXWBCSI,White blood cell count (1000 cells/uL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXLYPCT,LBXLYPCT,Lymphocyte percent (%),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXMOPCT,LBXMOPCT,Monocyte percent (%),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXNEPCT,LBXNEPCT,Segmented neutrophils percent (%),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXEOPCT,LBXEOPCT,Eosinophils percent (%),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXBAPCT,LBXBAPCT,Basophils percent (%),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBDLYMNO,LBDLYMNO,Lymphocyte number (1000 cells/uL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBDMONO,LBDMONO,Monocyte number (1000 cells/uL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBDNENO,LBDNENO,Segmented neutrophils number (1000 cell/uL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBDEONO,LBDEONO,Eosinophils number (1000 cells/uL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBDBANO,LBDBANO,Basophils number (1000 cells/uL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXRBCSI,LBXRBCSI,Red blood cell count (million cells/uL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXHGB,LBXHGB,Hemoglobin (g/dL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXHCT,LBXHCT,Hematocrit (%),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXMCVSI,LBXMCVSI,Mean cell volume (fL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXMC,LBXMC,Mean cell hemoglobin concentration (g/dL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXMCHSI,LBXMCHSI,Mean cell hemoglobin (pg),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXRDW,LBXRDW,Red cell distribution width (%),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXPLTSI,LBXPLTSI,Platelet count (1000 cells/uL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXMPSI,LBXMPSI,Mean platelet volume (fL),P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CBC_LBXNRBC,LBXNRBC,Nucleated red blood cells,P_CBC,Complete Blood Count with 5-Part Differential in Whole Blood,Laboratory
P_CMV_LBXIGG,LBXIGG,Cytomegalovirus (CMV) IgG,P_CMV,Cytomegalovirus IgG & IgM Antibodies - Serum,Laboratory
P_CMV_LBXIGM,LBXIGM,Cytomegalovirus (CMV) IgM,P_CMV,Cytomegalovirus IgG & IgM Antibodies - Serum,Laboratory
P_CMV_LBXIGGA,LBXIGGA,Cytomegalovirus (CMV) IgG avidity,P_CMV,Cytomegalovirus IgG & IgM Antibodies - Serum,Laboratory
P_COT_LBXCOT,LBXCOT,"Cotinine, Serum (ng/mL)",P_COT,Cotinine and Hydroxycotinine - Serum,Laboratory
P_COT_LBDCOTLC,LBDCOTLC,"Cotinine, Serum Comment Code",P_COT,Cotinine and Hydroxycotinine - Serum,Laboratory
P_COT_LBXHCOT,LBXHCOT,"Hydroxycotinine, Serum (ng/mL)",P_COT,Cotinine and Hydroxycotinine - Serum,Laboratory
P_COT_LBDHCOLC,LBDHCOLC,"Hydroxycotinine, Serum Comment Code",P_COT,Cotinine and Hydroxycotinine - Serum,Laboratory
P_CRCO_LBXBCR,LBXBCR,Chromium (ug/L),P_CRCO,Chromium & Cobalt,Laboratory
P_CRCO_LBDBCRSI,LBDBCRSI,Chromium (nmol/L),P_CRCO,Chromium & Cobalt,Laboratory
P_CRCO_LBDBCRLC,LBDBCRLC,Chromium Comment Code,P_CRCO,Chromium & Cobalt,Laboratory
P_CRCO_LBXBCO,LBXBCO,Cobalt (ug/L),P_CRCO,Chromium & Cobalt,Laboratory
P_CRCO_LBDBCOSI,LBDBCOSI,Cobalt (nmol/L),P_CRCO,Chromium & Cobalt,Laboratory
P_CRCO_LBDBCOLC,LBDBCOLC,Cobalt Comment Code,P_CRCO,Chromium & Cobalt,Laboratory
P_ETHOX_WTSAPRP,WTSAPRP,Subsample A Weights Pre-Pandemic,P_ETHOX,Ethylene Oxide,Laboratory
P_ETHOX_LBXEOA,LBXEOA,Ethylene Oxide (pmol/g Hb),P_ETHOX,Ethylene Oxide,Laboratory
P_ETHOX_LBDEOALC,LBDEOALC,Ethylene Oxide comment code,P_ETHOX,Ethylene Oxide,Laboratory
P_FASTQX_PHQ020,PHQ020,Coffee or tea with cream or sugar? [Include milk or non-dairy creamers.],P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHACOFHR,PHACOFHR,The time (in hours) since the examinee last drank coffee or tea with cream or sugar.,P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHACOFMN,PHACOFMN,The time (in minutes) since the examinee last drank coffee or tea with cream or sugar.,P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHQ030,PHQ030,"Alcohol, such as beer, wine, or liquor?",P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHAALCHR,PHAALCHR,"The time (in hours) the examinee last drank alcohol such as beer, wine, or liquor.",P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHAALCMN,PHAALCMN,"The time (in minutes) the examinee last drank alcohol such as beer, wine, or liquor.",P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHQ040,PHQ040,"Gum, breath mints, lozenges or cough drops, or other cough or cold remedies?",P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHAGUMHR,PHAGUMHR,"The time (in hours) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.",P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHAGUMMN,PHAGUMMN,"The time (in minutes) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.",P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHQ050,PHQ050,"Antacids, laxatives, or anti-diarrheals?",P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHAANTHR,PHAANTHR,"The time (in hours) the examinee last had antacids, laxatives or anti-diarrheals.",P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHAANTMN,PHAANTMN,"The time (in minutes) the examinee last had antacids, laxatives or anti-diarrheals.",P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHQ060,PHQ060,Dietary supplements such as vitamins and minerals? [Include multivitamins and single nutrient supplements.],P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHASUPHR,PHASUPHR,The time (in hours) the examinee last had dietary supplements such as vitamins and minerals.,P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHASUPMN,PHASUPMN,The time (in minutes) the examinee last had dietary supplements such as vitamins and minerals.,P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHAFSTHR,PHAFSTHR,The time (in hours) between when the examinee last ate or drank anything other than water and the time of the venipuncture.,P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHAFSTMN,PHAFSTMN,The time (in minutes) between when the examinee last ate or drank anything other than water and the time of the venipuncture.,P_FASTQX,Fasting Questionnaire,Laboratory
P_FASTQX_PHDSESN,PHDSESN,Session in which SP was examined,P_FASTQX,Fasting Questionnaire,Laboratory
P_FERTIN_LBXFER,LBXFER,Ferritin (ng/mL),P_FERTIN,Ferritin,Laboratory
P_FERTIN_LBDFERSI,LBDFERSI,Ferritin (ug/L),P_FERTIN,Ferritin,Laboratory
P_FETIB_LBXIRN,LBXIRN,"Iron frozen, Serum (ug/dL)",P_FETIB,Iron Status - Serum,Laboratory
P_FETIB_LBDIRNSI,LBDIRNSI,"Iron frozen, Serum (umol/L)",P_FETIB,Iron Status - Serum,Laboratory
P_FETIB_LBXUIB,LBXUIB,"Unsaturated Iron Binding Capacity (UIBC), Serum (ug/dL)",P_FETIB,Iron Status - Serum,Laboratory
P_FETIB_LBDUIBLC,LBDUIBLC,"Unsaturated Iron Binding Capacity (UIBC), Serum Comment Code",P_FETIB,Iron Status - Serum,Laboratory
P_FETIB_LBDUIBSI,LBDUIBSI,"Unsaturated Iron Binding Capacity (UIBC), Serum (umol/L)",P_FETIB,Iron Status - Serum,Laboratory
P_FETIB_LBDTIB,LBDTIB,Total Iron Binding Capacity TIBC (ug/dL),P_FETIB,Iron Status - Serum,Laboratory
P_FETIB_LBDTIBSI,LBDTIBSI,Total Iron Binding Capacity (TIBC) (umol/L),P_FETIB,Iron Status - Serum,Laboratory
P_FETIB_LBDPCT,LBDPCT,Transferrin Saturation (%),P_FETIB,Iron Status - Serum,Laboratory
P_FOLATE_WTFOLPRP,WTFOLPRP,Folate & Folate Form Weight Pre-Pandemic,P_FOLATE,Folate - RBC,Laboratory
P_FOLATE_LBDRFO,LBDRFO,RBC folate (ng/mL),P_FOLATE,Folate - RBC,Laboratory
P_FOLATE_LBDRFOSI,LBDRFOSI,RBC folate (nmol/L),P_FOLATE,Folate - RBC,Laboratory
P_FOLFMS_WTFOLPRP,WTFOLPRP,Folate & Folate Form Weight Pre-Pandemic,P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBDFOTSI,LBDFOTSI,Serum total folate (nmol/L),P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBDFOT,LBDFOT,Serum total folate (ng/mL),P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBXSF1SI,LBXSF1SI,5-Methyl-tetrahydrofolate (nmol/L),P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBDSF1LC,LBDSF1LC,5-Methyl-tetrahydrofolic comment code,P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBXSF2SI,LBXSF2SI,Folic acid (nmol/L),P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBDSF2LC,LBDSF2LC,Folic acid comment code,P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBXSF3SI,LBXSF3SI,5-Formyl-tetrahydrofolate (nmol/L),P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBDSF3LC,LBDSF3LC,5-Formyl-tetrahydrofolate comment code,P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBXSF4SI,LBXSF4SI,Tetrahydrofolate (nmol/L),P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBDSF4LC,LBDSF4LC,Tetrahydrofolate comment code,P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBXSF5SI,LBXSF5SI,"5,10-Methenyl-tetrahydrofolate (nmol/L)",P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBDSF5LC,LBDSF5LC,"5,10-Methenyl-tetrahydrofolate comment code",P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBXSF6SI,LBXSF6SI,Mefox oxidation product (nmol/L),P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FOLFMS_LBDSF6LC,LBDSF6LC,Mefox oxidation product comment code,P_FOLFMS,Folate Forms - Total & Individual - Serum,Laboratory
P_FR_WTSBPRP,WTSBPRP,Subsample B Weights Pre-Pandemic,P_FR,Flame Retardants - Urine,Laboratory
P_FR_URXBCPP,URXBCPP,Bis (1-chloro-2-propyl) Phosphate,P_FR,Flame Retardants - Urine,Laboratory
P_FR_URDBCPLC,URDBCPLC,Bis (1-chloro-2-propyl) Phosphate Comment Code,P_FR,Flame Retardants - Urine,Laboratory
P_FR_URXBCEP,URXBCEP,Bis-2-chloroethyl Phosphate,P_FR,Flame Retardants - Urine,Laboratory
P_FR_URDCEPLC,URDCEPLC,Bis-2-chloroethyl Phosphate Comt Code,P_FR,Flame Retardants - Urine,Laboratory
P_FR_URXBDCP,URXBDCP,"Bis (1,3-dichloro-2-propyl) Phosphate",P_FR,Flame Retardants - Urine,Laboratory
P_FR_URDBDCLC,URDBDCLC,"Bis (1,3-dichloro-2-propyl) Phosphate Comment Code",P_FR,Flame Retardants - Urine,Laboratory
P_FR_URXDBUP,URXDBUP,Dibutyl Phosphate,P_FR,Flame Retardants - Urine,Laboratory
P_FR_URDDUPLC,URDDUPLC,Dibutyl Phosphate Comment Code,P_FR,Flame Retardants - Urine,Laboratory
P_FR_URXDPHP,URXDPHP,Diphenyl Phosphate,P_FR,Flame Retardants - Urine,Laboratory
P_FR_URDDPHLC,URDDPHLC,Diphenyl Phosphate Comment Code,P_FR,Flame Retardants - Urine,Laboratory
P_FR_URXTBBA,URXTBBA,"2,3,4,5-tetrabromobenzoic Acid",P_FR,Flame Retardants - Urine,Laboratory
P_FR_URDBBALC,URDBBALC,"2,3,4,5-tetrabromobenzoic Acid Comment Code",P_FR,Flame Retardants - Urine,Laboratory
P_GHB_LBXGH,LBXGH,Glycohemoglobin (%),P_GHB,Glycohemoglobin,Laboratory
P_GLU_WTSAFPRP,WTSAFPRP,Fasting Subsample Weight,P_GLU,Plasma Fasting Glucose,Laboratory
P_GLU_LBXGLU,LBXGLU,Fasting Glucose (mg/dL),P_GLU,Plasma Fasting Glucose,Laboratory
P_GLU_LBDGLUSI,LBDGLUSI,Fasting Glucose (mmol/L),P_GLU,Plasma Fasting Glucose,Laboratory
P_HDL_LBDHDD,LBDHDD,Direct HDL-Cholesterol (mg/dL),P_HDL,Cholesterol - High - Density Lipoprotein (HDL),Laboratory
P_HDL_LBDHDDSI,LBDHDDSI,Direct HDL-Cholesterol (mmol/L),P_HDL,Cholesterol - High - Density Lipoprotein (HDL),Laboratory
P_HEPA_LBXHA,LBXHA,Hepatitis A antibody,P_HEPA,Hepatitis A,Laboratory
P_HEPB_S_LBXHBS,LBXHBS,Hepatitis B Surface Antibody,P_HEPB_S,Hepatitis B Surface Antibody,Laboratory
P_HEPBD_LBXHBC,LBXHBC,Hepatitis B core antibody,P_HEPBD,"Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody",Laboratory
P_HEPBD_LBDHBG,LBDHBG,Hepatitis B surface antigen,P_HEPBD,"Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody",Laboratory
P_HEPBD_LBDHD,LBDHD,Hepatitis D antibody (anti-HDV),P_HEPBD,"Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody",Laboratory
P_HEPC_LBXHCR,LBXHCR,Hepatitis C RNA,P_HEPC,"Hepatitis C: RNA (HCV-RNA), Confirmed Antibody (INNO-LIA), & Genotype",Laboratory
P_HEPC_LBDHCI,LBDHCI,Hepatitis C Antibody (confirmed),P_HEPC,"Hepatitis C: RNA (HCV-RNA), Confirmed Antibody (INNO-LIA), & Genotype",Laboratory
P_HEPC_LBXHCG,LBXHCG,Hepatitis C Genotype,P_HEPC,"Hepatitis C: RNA (HCV-RNA), Confirmed Antibody (INNO-LIA), & Genotype",Laboratory
P_HEPE_LBDHEG,LBDHEG,Hepatitis E IgG (anti-HEV),P_HEPE,Hepatitis E: IgG & IgM Antibodies,Laboratory
P_HEPE_LBDHEM,LBDHEM,Hepatitis E IgM (anti-HEV),P_HEPE,Hepatitis E: IgG & IgM Antibodies,Laboratory
P_HSCRP_LBXHSCRP,LBXHSCRP,High-Sensitivity C-Reactive Protein (hs-CRP) (mg/L),P_HSCRP,High-Sensitivity C-Reactive Protein,Laboratory
P_HSCRP_LBDHRPLC,LBDHRPLC,High-Sensitivity C-Reactive Protein (hs-CRP) Comment Code,P_HSCRP,High-Sensitivity C-Reactive Protein,Laboratory
P_IHGEM_LBXIHG,LBXIHG,"Inorganic mercury, blood (ug/L)",P_IHGEM,"Inorganic, Ethyl and Methyl - Blood",Laboratory
P_IHGEM_LBDIHGSI,LBDIHGSI,"Mercury, inorganic (nmol/L)",P_IHGEM,"Inorganic, Ethyl and Methyl - Blood",Laboratory
P_IHGEM_LBDIHGLC,LBDIHGLC,"Mercury, inorganic comment code",P_IHGEM,"Inorganic, Ethyl and Methyl - Blood",Laboratory
P_IHGEM_LBXBGE,LBXBGE,"Mercury, ethyl (ug/L)",P_IHGEM,"Inorganic, Ethyl and Methyl - Blood",Laboratory
P_IHGEM_LBDBGESI,LBDBGESI,"Mercury, ethyl (nmol/L)",P_IHGEM,"Inorganic, Ethyl and Methyl - Blood",Laboratory
P_IHGEM_LBDBGELC,LBDBGELC,"Mercury, ethyl comment code",P_IHGEM,"Inorganic, Ethyl and Methyl - Blood",Laboratory
P_IHGEM_LBXBGM,LBXBGM,"Mercury, methyl (ug/L)",P_IHGEM,"Inorganic, Ethyl and Methyl - Blood",Laboratory
P_IHGEM_LBDBGMSI,LBDBGMSI,"Mercury, methyl (nmol/L)",P_IHGEM,"Inorganic, Ethyl and Methyl - Blood",Laboratory
P_IHGEM_LBDBGMLC,LBDBGMLC,"Mercury, methyl comment code",P_IHGEM,"Inorganic, Ethyl and Methyl - Blood",Laboratory
P_INS_WTSAFPRP,WTSAFPRP,Fasting Subsample Weight,P_INS,Insulin,Laboratory
P_INS_LBXIN,LBXIN,Insulin (μU/mL),P_INS,Insulin,Laboratory
P_INS_LBDINSI,LBDINSI,Insulin (pmol/L),P_INS,Insulin,Laboratory
P_INS_LBDINLC,LBDINLC,Insulin Comment Code,P_INS,Insulin,Laboratory
P_OPD_WTSBPRP,WTSBPRP,Subsample B Weights Pre-Pandemic,P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URXOP1,URXOP1,Dimethylphosphate (ng/mL),P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URDOP1LC,URDOP1LC,Dimethylphosphate Comment Code,P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URXOP2,URXOP2,Diethylphosphate (ng/mL),P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URDOP2LC,URDOP2LC,Diethylphosphate Comment Code,P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URXOP3,URXOP3,Dimethylthiophosphate (ng/mL),P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URDOP3LC,URDOP3LC,Dimethylthiophosphate Comment Code,P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URXOP4,URXOP4,Diethylthiophosphate (ng/mL),P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URDOP4LC,URDOP4LC,Diethylthiophosphate Comment Code,P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URXOP5,URXOP5,Dimethyldithiophosphate (ng/mL),P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URDOP5LC,URDOP5LC,Dimethyldithiophosphate Comment Code,P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URXOP6,URXOP6,Diethyldithiophosphate (ng/mL),P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_OPD_URDOP6LC,URDOP6LC,Diethyldithiophosphate Comment Code,P_OPD,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,Laboratory
P_PBCD_LBXBPB,LBXBPB,Blood lead (ug/dL),P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBDBPBSI,LBDBPBSI,Blood lead (umol/L),P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBDBPBLC,LBDBPBLC,Blood lead comment code,P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBXBCD,LBXBCD,Blood cadmium (ug/L),P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBDBCDSI,LBDBCDSI,Blood cadmium (nmol/L),P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBDBCDLC,LBDBCDLC,Blood cadmium comment code,P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBXTHG,LBXTHG,"Blood mercury, total (ug/L)",P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBDTHGSI,LBDTHGSI,"Blood mercury, total (nmol/L)",P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBDTHGLC,LBDTHGLC,"Blood mercury, total comment code",P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBXBSE,LBXBSE,Blood selenium(ug/L),P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBDBSESI,LBDBSESI,Blood selenium (umol/L),P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBDBSELC,LBDBSELC,Blood selenium comment code,P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBXBMN,LBXBMN,Blood manganese (ug/L),P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBDBMNSI,LBDBMNSI,Blood manganese (nmol/L),P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PBCD_LBDBMNLC,LBDBMNLC,Blood manganese comment code,P_PBCD,"Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",Laboratory
P_PERNT_WTSAPRP,WTSAPRP,Subsample A Weights,P_PERNT,"Perchlorate, Nitrate & Thiocyanate - Urine",Laboratory
P_PERNT_URXUP8,URXUP8,"Perchlorate, urine (ng/mL)",P_PERNT,"Perchlorate, Nitrate & Thiocyanate - Urine",Laboratory
P_PERNT_URDUP8LC,URDUP8LC,"Perchlorate, urine Comment Code",P_PERNT,"Perchlorate, Nitrate & Thiocyanate - Urine",Laboratory
P_PERNT_URXNO3,URXNO3,"Nitrate, urine (ng/mL)",P_PERNT,"Perchlorate, Nitrate & Thiocyanate - Urine",Laboratory
P_PERNT_URDNO3LC,URDNO3LC,"Nitrate, urine Comment Code",P_PERNT,"Perchlorate, Nitrate & Thiocyanate - Urine",Laboratory
P_PERNT_URXSCN,URXSCN,"Thiocyanate, urine (ng/mL)",P_PERNT,"Perchlorate, Nitrate & Thiocyanate - Urine",Laboratory
P_PERNT_URDSCNLC,URDSCNLC,"Thiocyanate, urine Comment Code",P_PERNT,"Perchlorate, Nitrate & Thiocyanate - Urine",Laboratory
P_PFAS_WTSBAPRP,WTSBAPRP,Subsample BA Weights Pre-Pandemic,P_PFAS,Perfluoroalkyl and Polyfluoroalkyl Substances,Laboratory
P_PFAS_LBXPFDE,LBXPFDE,Perfluorodecanoic acid (PFDeA) (ng/mL),P_PFAS,Perfluoroalkyl and Polyfluoroalkyl Substances,Laboratory
P_PFAS_LBDPFDEL,LBDPFDEL,Perfluorodecanoic acid (PFDeA) Comment Code,P_PFAS,Perfluoroalkyl and Polyfluoroalkyl Substances,Laboratory
P_PFAS_LBXPFHS,LBXPFHS,Perfluorohexane sulfonic acid (PFHxS) (ng/mL),P_PFAS,Perfluoroalkyl and Polyfluoroalkyl Substances,Laboratory
P_PFAS_LBDPFHSL,LBDPFHSL,Perfluorohexane sulfonic acid (PFHxS) Comment Code,P_PFAS,Perfluoroalkyl and Polyfluoroalkyl Substances,Laboratory
P_PFAS_LBXMPAH,LBXMPAH,2-(N-methylperfluoroctanesulfonamido)acetic acid (Me-PFOSA-AcOH) (ng/mL),P_PFAS,Perfluoroalkyl and Polyfluoroalkyl Substances,Laboratory
P_PFAS_LBDMPAHL,LBDMPAHL,2-(N-methylperfluoroctanesulfonamido)acetic acid (Me-PFOSA-AcOH) Comment Code,P_PFAS,Perfluoroalkyl and Polyfluoroalkyl Substances,Laboratory
